User,Date,EXE File Count,Other File Count
MOH0273,2010-01-02,0,23
MOH0273,2010-01-04,0,16
MOH0273,2010-01-05,1,26
MOH0273,2010-01-06,0,27
MOH0273,2010-01-07,0,27
MOH0273,2010-01-08,0,22
MOH0273,2010-01-09,1,20
MOH0273,2010-01-11,0,27
MOH0273,2010-01-12,0,20
MOH0273,2010-01-13,0,24
MOH0273,2010-01-14,0,21
MOH0273,2010-01-15,0,27
MOH0273,2010-01-17,0,27
MOH0273,2010-01-18,0,27
MOH0273,2010-01-19,0,24
MOH0273,2010-01-20,0,18
MOH0273,2010-01-21,2,18
MOH0273,2010-01-22,0,24
MOH0273,2010-01-23,0,27
MOH0273,2010-01-25,0,26
MOH0273,2010-01-26,0,14
MOH0273,2010-01-27,0,20
MOH0273,2010-01-28,0,25
MOH0273,2010-01-29,0,23
MOH0273,2010-01-30,0,22
MOH0273,2010-02-01,0,25
MOH0273,2010-02-02,0,25
MOH0273,2010-02-03,0,25
MOH0273,2010-02-04,0,19
MOH0273,2010-02-05,0,25
MOH0273,2010-02-07,0,23
MOH0273,2010-02-08,0,24
MOH0273,2010-02-09,0,20
MOH0273,2010-02-10,0,27
MOH0273,2010-02-11,0,24
MOH0273,2010-02-12,0,23
MOH0273,2010-02-15,0,21
MOH0273,2010-02-16,0,17
MOH0273,2010-02-17,0,27
MOH0273,2010-02-18,0,25
MOH0273,2010-02-19,1,26
MOH0273,2010-02-20,0,22
MOH0273,2010-02-21,0,22
MOH0273,2010-02-22,0,24
MOH0273,2010-02-23,0,26
MOH0273,2010-02-24,0,24
MOH0273,2010-02-25,0,25
MOH0273,2010-02-26,0,22
MOH0273,2010-02-28,0,21
MOH0273,2010-03-01,1,24
MOH0273,2010-03-02,0,18
MOH0273,2010-03-03,0,12
MOH0273,2010-03-04,0,24
MOH0273,2010-03-05,0,21
MOH0273,2010-03-08,0,25
MOH0273,2010-03-09,0,17
MOH0273,2010-03-10,0,24
MOH0273,2010-03-11,0,27
MOH0273,2010-03-12,0,15
MOH0273,2010-03-15,0,16
MOH0273,2010-03-16,0,25
MOH0273,2010-03-17,0,25
MOH0273,2010-03-18,0,24
MOH0273,2010-03-19,0,26
MOH0273,2010-03-22,1,25
MOH0273,2010-03-23,0,18
MOH0273,2010-03-24,0,23
MOH0273,2010-03-25,0,24
MOH0273,2010-03-26,0,23
MOH0273,2010-03-29,1,22
MOH0273,2010-03-30,0,27
MOH0273,2010-03-31,0,21
MOH0273,2010-04-01,1,20
MOH0273,2010-04-05,1,21
MOH0273,2010-04-06,0,25
MOH0273,2010-04-07,0,27
MOH0273,2010-04-08,0,21
MOH0273,2010-04-09,0,23
MOH0273,2010-04-12,0,23
MOH0273,2010-04-13,0,19
MOH0273,2010-04-14,0,23
MOH0273,2010-04-15,0,23
MOH0273,2010-04-16,0,23
MOH0273,2010-04-17,0,21
MOH0273,2010-04-19,0,18
MOH0273,2010-04-20,0,25
MOH0273,2010-04-21,0,27
MOH0273,2010-04-22,0,14
MOH0273,2010-04-23,0,27
MOH0273,2010-04-24,1,26
MOH0273,2010-04-26,0,16
MOH0273,2010-04-27,0,25
MOH0273,2010-04-28,0,16
MOH0273,2010-04-29,0,27
MOH0273,2010-04-30,0,20
MOH0273,2010-05-01,0,25
MOH0273,2010-05-02,0,27
MOH0273,2010-05-03,1,25
MOH0273,2010-05-04,0,23
MOH0273,2010-05-05,0,24
MOH0273,2010-05-06,0,19
MOH0273,2010-05-07,0,23
MOH0273,2010-05-08,1,26
MOH0273,2010-05-10,0,24
MOH0273,2010-05-11,0,23
MOH0273,2010-05-12,0,19
MOH0273,2010-05-13,0,24
MOH0273,2010-05-14,1,25
MOH0273,2010-05-17,1,23
MOH0273,2010-05-18,1,24
MOH0273,2010-05-19,0,23
MOH0273,2010-05-20,0,17
MOH0273,2010-05-21,0,26
MOH0273,2010-05-22,1,23
MOH0273,2010-05-24,0,24
MOH0273,2010-05-25,0,23
MOH0273,2010-05-26,0,19
MOH0273,2010-05-27,0,22
MOH0273,2010-05-28,0,27
MOH0273,2010-06-01,0,23
MOH0273,2010-06-02,1,25
MOH0273,2010-06-03,0,27
MOH0273,2010-06-04,0,22
MOH0273,2010-06-07,1,26
MOH0273,2010-06-08,0,20
MOH0273,2010-06-09,0,25
MOH0273,2010-06-10,1,26
MOH0273,2010-06-11,0,22
MOH0273,2010-06-12,1,23
MOH0273,2010-06-13,0,20
MOH0273,2010-06-14,1,24
MOH0273,2010-06-15,0,17
MOH0273,2010-06-16,0,26
MOH0273,2010-06-17,0,16
MOH0273,2010-06-18,1,15
MOH0273,2010-06-20,0,26
MOH0273,2010-06-21,0,22
MOH0273,2010-06-22,0,23
MOH0273,2010-06-23,0,14
MOH0273,2010-06-24,0,24
MOH0273,2010-06-25,1,24
MOH0273,2010-06-26,1,22
MOH0273,2010-06-28,0,19
MOH0273,2010-06-29,0,26
MOH0273,2010-06-30,0,27
MOH0273,2010-07-01,0,26
MOH0273,2010-07-02,0,21
MOH0273,2010-07-04,0,24
MOH0273,2010-07-06,0,23
MOH0273,2010-07-07,0,20
MOH0273,2010-07-08,0,22
MOH0273,2010-07-09,0,21
MOH0273,2010-07-12,1,26
MOH0273,2010-07-13,0,15
MOH0273,2010-07-14,0,24
MOH0273,2010-07-15,0,21
MOH0273,2010-07-16,0,22
MOH0273,2010-07-17,0,27
MOH0273,2010-07-18,0,25
MOH0273,2010-07-19,1,26
MOH0273,2010-07-20,0,21
MOH0273,2010-07-21,1,20
MOH0273,2010-07-22,0,21
MOH0273,2010-07-23,1,22
MOH0273,2010-07-26,0,23
MOH0273,2010-07-27,0,25
MOH0273,2010-07-28,0,25
MOH0273,2010-07-29,0,21
MOH0273,2010-07-30,0,25
MOH0273,2010-07-31,0,22
MOH0273,2010-08-02,0,23
MOH0273,2010-08-03,0,25
MOH0273,2010-08-04,0,27
MOH0273,2010-08-05,0,24
MOH0273,2010-08-06,1,21
MOH0273,2010-08-08,0,22
MOH0273,2010-08-09,0,23
MOH0273,2010-08-10,0,25
MOH0273,2010-08-11,0,27
MOH0273,2010-08-12,0,24
MOH0273,2010-08-13,0,24
MOH0273,2010-08-14,0,24
MOH0273,2010-08-15,0,25
MOH0273,2010-08-16,0,20
MOH0273,2010-08-17,0,21
MOH0273,2010-08-18,0,23
MOH0273,2010-08-19,0,21
MOH0273,2010-08-20,0,25
MOH0273,2010-08-23,0,17
MOH0273,2010-08-24,0,19
MOH0273,2010-08-25,0,19
MOH0273,2010-08-26,0,21
MOH0273,2010-08-27,0,26
MOH0273,2010-08-29,0,22
MOH0273,2010-08-30,0,23
MOH0273,2010-08-31,0,27
MOH0273,2010-09-01,0,22
MOH0273,2010-09-02,0,20
MOH0273,2010-09-03,0,24
